train_acc,train_loss,val_acc,val_loss
0.03477894736842106,4.3499184,0.0548,4.164761
0.05553684210526316,4.08554,0.056400000000000006,4.0675926
0.07277894736842107,3.9792545,0.0832,3.9948413
0.08774736842105264,3.8769062,0.09519999999999999,3.8546145
0.10414736842105264,3.7764404,0.124,3.6963394
0.11774736842105264,3.6981409,0.12480000000000001,3.6501818
0.13383157894736844,3.6084833,0.1464,3.5543885
0.14772631578947365,3.5286195,0.16079999999999997,3.4583225
0.16410526315789475,3.4550343,0.16920000000000002,3.416359
0.17366315789473682,3.3925931,0.1776,3.36656
0.18734736842105262,3.3225992,0.188,3.310018
0.19722105263157894,3.2592847,0.19640000000000005,3.2224648
0.20793684210526314,3.203201,0.206,3.215997
0.2212,3.1251621,0.2164,3.1416266
0.23374736842105262,3.059872,0.2224,3.1222756
0.24738947368421052,2.9896185,0.2512,2.9965627
0.2559578947368421,2.937709,0.26360000000000006,2.9533072
0.26850526315789475,2.8780944,0.23639999999999997,3.030996
0.27863157894736845,2.8187683,0.272,2.8536544
0.2892631578947368,2.7708373,0.27840000000000004,2.8427699
0.29976842105263163,2.7251728,0.2892,2.7073362
0.3099578947368421,2.6673124,0.2908,2.7588716
0.31509473684210526,2.6273906,0.2916,2.7314303
0.33082105263157896,2.5810752,0.30800000000000005,2.6444836
0.3368421052631579,2.5420976,0.31520000000000004,2.6216822
0.3415368421052632,2.5103104,0.3312,2.534868
0.34968421052631576,2.47193,0.33599999999999997,2.540145
0.3566947368421053,2.4363189,0.344,2.5503838
0.3617263157894737,2.4091694,0.35559999999999997,2.4347508
0.3700210526315789,2.3761911,0.3436,2.4989674
0.37532631578947373,2.3497012,0.3408,2.439266
0.3814947368421053,2.3127155,0.35680000000000006,2.424557
0.38572631578947375,2.3029532,0.3604,2.428082
0.3913473684210526,2.2633607,0.34600000000000003,2.4960837
0.4008631578947368,2.2418056,0.3624,2.458872
0.4034736842105264,2.2140267,0.3568,2.4548757
0.40795789473684213,2.1989803,0.3824,2.294959
0.41338947368421053,2.1729321,0.38159999999999994,2.3545194
0.4211368421052632,2.1365247,0.38,2.3244412
0.4222315789473684,2.1268365,0.3724,2.3590238
0.4298947368421053,2.1042652,0.3999999999999999,2.2645488
0.43355789473684214,2.0771992,0.39160000000000006,2.2985353
0.44063157894736843,2.0592105,0.4036,2.2347388
0.44482105263157895,2.0409877,0.3888,2.2453635
0.4501894736842106,2.0204003,0.39799999999999996,2.2611043
0.45077894736842106,2.0016077,0.3996,2.208985
0.4554526315789474,1.9888707,0.40880000000000005,2.1780713
0.45890526315789476,1.967738,0.4108,2.2497447
0.466,1.9490895,0.4152,2.1534414
0.4670315789473684,1.939516,0.41480000000000006,2.1560915
0.47402105263157895,1.9135643,0.4228,2.1379707
0.47553684210526315,1.9042398,0.4276,2.1161993
0.4779578947368421,1.8885207,0.4336,2.1057787
0.48404210526315794,1.8706275,0.4288,2.0864978
0.49006315789473687,1.8605661,0.4427999999999999,2.080073
0.49176842105263163,1.8367242,0.4252,2.101225
0.4938105263157895,1.8226174,0.43080000000000007,2.0925164
0.4994947368421053,1.8052844,0.4364,2.058086
0.5048842105263158,1.7908465,0.4396,2.0742269
0.505578947368421,1.7834966,0.43440000000000006,2.1054935
0.5079789473684211,1.7696896,0.44559999999999994,2.0585716
0.5125052631578947,1.761598,0.44079999999999997,2.0380127
0.5129263157894737,1.7458152,0.45000000000000007,2.050315
0.5140842105263158,1.7319365,0.44599999999999995,2.0244973
0.5194947368421052,1.7248509,0.45519999999999994,2.0122755
0.5204,1.708961,0.45,2.042652
0.5250105263157895,1.6976812,0.45280000000000004,2.0073423
0.5236421052631579,1.6865574,0.456,2.0151274
0.5306526315789474,1.6764379,0.4572,2.0358834
0.532042105263158,1.6674984,0.45319999999999994,2.0241158
0.5336,1.6576691,0.4584,2.03455
0.536778947368421,1.6431814,0.4576,2.0053837
0.5418736842105263,1.6307375,0.4664,1.9970111
0.542821052631579,1.627079,0.4592,2.0225794
0.5421684210526315,1.6196641,0.4644,1.9904506
0.5443368421052631,1.6140661,0.4672,1.9841725
0.5484631578947368,1.5980275,0.47,1.988503
0.5465894736842105,1.6025708,0.46159999999999995,1.9839225
0.5517473684210528,1.587729,0.4524,1.9811091
0.5516,1.580323,0.4672,1.9877596
0.5530105263157896,1.5743984,0.4668,1.9727424
0.5553684210526316,1.5781367,0.4584,1.9795836
0.5576210526315789,1.5584123,0.46399999999999997,1.9831203
0.5601263157894737,1.5603715,0.4708,1.9766077
0.5589894736842105,1.549001,0.4604,1.9810207
0.562021052631579,1.5486758,0.4668,1.9799305
0.5614315789473683,1.5457299,0.4704,1.9730223
0.5622736842105264,1.5344009,0.4732,1.9765913
0.5638947368421052,1.5364896,0.4684,1.9680127
0.565557894736842,1.5280313,0.47239999999999993,1.9685299
0.5689684210526316,1.5261785,0.4744,1.963654
0.5688842105263159,1.5149367,0.4736,1.9649425
0.5679368421052631,1.520863,0.4728,1.9708966
0.5678947368421052,1.5190684,0.47120000000000006,1.9680786
0.5700421052631579,1.5096605,0.47119999999999995,1.969346
0.5698947368421053,1.5104678,0.4736,1.9628117
0.5697684210526316,1.5102826,0.47200000000000003,1.9638371
0.570421052631579,1.5098782,0.46880000000000005,1.972859
0.57,1.507232,0.46880000000000005,1.9713739
0.5740842105263156,1.5017424,0.4699999999999999,1.9691308
